2010-10-30 06:20:48,410 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-30 06:20:48,410 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-30 06:20:48,423 | DEBUG  | Stat yezooz. garage, cars=40.
2010-10-30 06:20:48,423 | DEBUG  | Stat yezooz. garage, cars=40.
2010-10-30 06:20:48,440 | DEBUG  | Stat yezooz. car_manuf, Fiat=5.
2010-10-30 06:20:48,440 | DEBUG  | Stat yezooz. car_manuf, Fiat=5.
2010-10-30 06:20:48,451 | DEBUG  | Stat yezooz. car_country, Italy=7.
2010-10-30 06:20:48,451 | DEBUG  | Stat yezooz. car_country, Italy=7.
2010-10-30 06:20:48,461 | DEBUG  | Stat yezooz. car_tier, 1=13.
2010-10-30 06:20:48,461 | DEBUG  | Stat yezooz. car_tier, 1=13.
2010-10-30 06:20:48,470 | DEBUG  | Stat yezooz. car_manuf, Fiat=6.
2010-10-30 06:20:48,470 | DEBUG  | Stat yezooz. car_manuf, Fiat=6.
2010-10-30 06:20:48,480 | DEBUG  | Stat yezooz. car_country, Italy=8.
2010-10-30 06:20:48,480 | DEBUG  | Stat yezooz. car_country, Italy=8.
2010-10-30 06:20:48,490 | DEBUG  | Stat yezooz. car_tier, 1=14.
2010-10-30 06:20:48,490 | DEBUG  | Stat yezooz. car_tier, 1=14.
2010-10-30 06:20:48,501 | DEBUG  | Stat yezooz. car_year, 2000=6.
2010-10-30 06:20:48,501 | DEBUG  | Stat yezooz. car_year, 2000=6.
2010-10-30 06:20:48,512 | DEBUG  | Stat yezooz. car_bhp, 74=3.
2010-10-30 06:20:48,512 | DEBUG  | Stat yezooz. car_bhp, 74=3.
2010-10-30 06:20:48,522 | DEBUG  | Stat yezooz. car_speed, 160=4.
2010-10-30 06:20:48,522 | DEBUG  | Stat yezooz. car_speed, 160=4.
2010-10-30 06:20:48,531 | DEBUG  | Stat yezooz. car_weight, 900=4.
2010-10-30 06:20:48,531 | DEBUG  | Stat yezooz. car_weight, 900=4.
2010-10-30 06:20:48,533 | INFO   | yezooz just earned 1000 cash
2010-10-30 06:20:48,533 | INFO   | yezooz just earned 1000 cash
2010-10-30 06:20:48,541 | DEBUG  | Stat yezooz. cash, earn=1000.
2010-10-30 06:20:48,541 | DEBUG  | Stat yezooz. cash, earn=1000.
2010-10-30 06:20:48,549 | DEBUG  | Stat yezooz. cash, earn=6000.
2010-10-30 06:20:48,549 | DEBUG  | Stat yezooz. cash, earn=6000.
2010-10-30 06:20:48,549 | INFO   | yezooz just earned 10 exp
2010-10-30 06:20:48,549 | INFO   | yezooz just earned 10 exp
2010-10-30 06:20:48,557 | DEBUG  | Stat yezooz. exp, earn=10.
2010-10-30 06:20:48,557 | DEBUG  | Stat yezooz. exp, earn=10.
2010-10-30 06:20:48,565 | DEBUG  | Stat yezooz. exp, earn=60.
2010-10-30 06:20:48,565 | DEBUG  | Stat yezooz. exp, earn=60.
2010-10-30 06:20:48,581 | DEBUG  | Stat yezooz. job, done=1.
2010-10-30 06:20:48,581 | DEBUG  | Stat yezooz. job, done=1.
2010-10-30 06:20:48,590 | DEBUG  | Stat yezooz. job, done=6.
2010-10-30 06:20:48,590 | DEBUG  | Stat yezooz. job, done=6.
2010-10-30 06:21:16,000 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-30 06:21:16,000 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-30 06:21:16,093 | DEBUG  | Stat yezooz. garage, cars=41.
2010-10-30 06:21:16,093 | DEBUG  | Stat yezooz. garage, cars=41.
2010-10-30 06:21:16,104 | DEBUG  | Stat yezooz. car_manuf, Renault=3.
2010-10-30 06:21:16,104 | DEBUG  | Stat yezooz. car_manuf, Renault=3.
2010-10-30 06:21:16,113 | DEBUG  | Stat yezooz. car_country, France=3.
2010-10-30 06:21:16,113 | DEBUG  | Stat yezooz. car_country, France=3.
2010-10-30 06:21:16,123 | DEBUG  | Stat yezooz. car_tier, 1=15.
2010-10-30 06:21:16,123 | DEBUG  | Stat yezooz. car_tier, 1=15.
2010-10-30 06:21:16,133 | DEBUG  | Stat yezooz. car_manuf, Renault=4.
2010-10-30 06:21:16,133 | DEBUG  | Stat yezooz. car_manuf, Renault=4.
2010-10-30 06:21:16,142 | DEBUG  | Stat yezooz. car_country, France=4.
2010-10-30 06:21:16,142 | DEBUG  | Stat yezooz. car_country, France=4.
2010-10-30 06:21:16,151 | DEBUG  | Stat yezooz. car_tier, 1=16.
2010-10-30 06:21:16,151 | DEBUG  | Stat yezooz. car_tier, 1=16.
2010-10-30 06:21:16,163 | DEBUG  | Stat yezooz. car_year, 2000=7.
2010-10-30 06:21:16,163 | DEBUG  | Stat yezooz. car_year, 2000=7.
2010-10-30 06:21:16,174 | DEBUG  | Stat yezooz. car_bhp, 84=1.
2010-10-30 06:21:16,174 | DEBUG  | Stat yezooz. car_bhp, 84=1.
2010-10-30 06:21:16,183 | DEBUG  | Stat yezooz. car_speed, 170=1.
2010-10-30 06:21:16,183 | DEBUG  | Stat yezooz. car_speed, 170=1.
2010-10-30 06:21:16,194 | DEBUG  | Stat yezooz. car_weight, 1200=1.
2010-10-30 06:21:16,194 | DEBUG  | Stat yezooz. car_weight, 1200=1.
2010-10-30 06:21:16,197 | INFO   | yezooz just earned 1000 cash
2010-10-30 06:21:16,197 | INFO   | yezooz just earned 1000 cash
2010-10-30 06:21:16,208 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-30 06:21:16,208 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-30 06:21:16,220 | DEBUG  | Stat yezooz. cash, earn=7000.
2010-10-30 06:21:16,220 | DEBUG  | Stat yezooz. cash, earn=7000.
2010-10-30 06:21:16,221 | INFO   | yezooz just earned 10 exp
2010-10-30 06:21:16,221 | INFO   | yezooz just earned 10 exp
2010-10-30 06:21:16,231 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-30 06:21:16,231 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-30 06:21:16,242 | DEBUG  | Stat yezooz. exp, earn=70.
2010-10-30 06:21:16,242 | DEBUG  | Stat yezooz. exp, earn=70.
2010-10-30 06:21:16,266 | DEBUG  | Stat yezooz. job, done=2.
2010-10-30 06:21:16,266 | DEBUG  | Stat yezooz. job, done=2.
2010-10-30 06:21:16,275 | DEBUG  | Stat yezooz. job, done=7.
