2010-10-02 18:03:01,114 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-02 18:03:01,114 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-02 18:03:01,121 | DEBUG  | Stat yezooz. garage, cars_total=2.
2010-10-02 18:03:01,121 | DEBUG  | Stat yezooz. garage, cars_total=2.
2010-10-02 18:03:01,128 | DEBUG  | Stat yezooz. car_manuf_total, Nissan=2.
2010-10-02 18:03:01,128 | DEBUG  | Stat yezooz. car_manuf_total, Nissan=2.
2010-10-02 18:03:01,135 | DEBUG  | Stat yezooz. car_country_total, Japan=2.
2010-10-02 18:03:01,135 | DEBUG  | Stat yezooz. car_country_total, Japan=2.
2010-10-02 18:03:01,141 | DEBUG  | Stat yezooz. car_tier_total, 1=2.
2010-10-02 18:03:01,141 | DEBUG  | Stat yezooz. car_tier_total, 1=2.
2010-10-02 18:03:01,148 | DEBUG  | Stat yezooz. car_manuf, Nissan=2.
2010-10-02 18:03:01,148 | DEBUG  | Stat yezooz. car_manuf, Nissan=2.
2010-10-02 18:03:01,154 | DEBUG  | Stat yezooz. car_country, Japan=2.
2010-10-02 18:03:01,154 | DEBUG  | Stat yezooz. car_country, Japan=2.
2010-10-02 18:03:01,161 | DEBUG  | Stat yezooz. car_tier, 1=2.
2010-10-02 18:03:01,161 | DEBUG  | Stat yezooz. car_tier, 1=2.
2010-10-02 18:03:01,161 | INFO   | yezooz just earned 1000 cash
2010-10-02 18:03:01,161 | INFO   | yezooz just earned 1000 cash
2010-10-02 18:03:01,184 | DEBUG  | Stat yezooz. cash, earn_cash_today=2.
2010-10-02 18:03:01,184 | DEBUG  | Stat yezooz. cash, earn_cash_today=2.
2010-10-02 18:03:01,192 | DEBUG  | Stat yezooz. cash, earn_cash=2.
2010-10-02 18:03:01,192 | DEBUG  | Stat yezooz. cash, earn_cash=2.
2010-10-02 18:03:01,193 | INFO   | yezooz just earned 10 exp
2010-10-02 18:03:01,193 | INFO   | yezooz just earned 10 exp
2010-10-02 18:03:01,199 | DEBUG  | Stat yezooz. exp, earn_exp_today=2.
2010-10-02 18:03:01,199 | DEBUG  | Stat yezooz. exp, earn_exp_today=2.
2010-10-02 18:03:01,207 | DEBUG  | Stat yezooz. exp, earn_exp=2.
2010-10-02 18:03:01,207 | DEBUG  | Stat yezooz. exp, earn_exp=2.
2010-10-02 18:03:01,223 | DEBUG  | Stat yezooz. job, done_today=2.
2010-10-02 18:03:01,223 | DEBUG  | Stat yezooz. job, done_today=2.
2010-10-02 18:03:01,230 | DEBUG  | Stat yezooz. job, done=2.
2010-10-02 18:03:01,230 | DEBUG  | Stat yezooz. job, done=2.
2010-10-02 18:05:31,403 | DEBUG  | Stat yezooz. garage, cars_add=3.
2010-10-02 18:05:31,403 | DEBUG  | Stat yezooz. garage, cars_add=3.
2010-10-02 18:05:31,411 | DEBUG  | Stat yezooz. garage, cars_total=3.
2010-10-02 18:05:31,411 | DEBUG  | Stat yezooz. garage, cars_total=3.
2010-10-02 18:05:31,417 | DEBUG  | Stat yezooz. car_manuf_total, Fiat=2.
2010-10-02 18:05:31,417 | DEBUG  | Stat yezooz. car_manuf_total, Fiat=2.
2010-10-02 18:05:31,424 | DEBUG  | Stat yezooz. car_country_total, Italy=2.
2010-10-02 18:05:31,424 | DEBUG  | Stat yezooz. car_country_total, Italy=2.
2010-10-02 18:05:31,433 | DEBUG  | Stat yezooz. car_tier_total, 1=3.
