2010-11-04 19:56:39,871 | DEBUG  | Stat gdav. exp, level_up=1.
2010-11-04 19:56:39,886 | DEBUG  | Stat gdav. exp, level_up=1.
2010-11-04 19:56:39,895 | DEBUG  | Stat gdav. exp, level_up=2.
2010-11-04 19:56:39,903 | DEBUG  | Stat gdav. exp, level_up=2.
2010-11-04 19:56:39,903 | INFO   | gdav just earned 1000000 cash
2010-11-04 19:56:39,911 | DEBUG  | Stat gdav. cash, earn=1018000.
2010-11-04 19:56:39,920 | DEBUG  | Stat gdav. cash, earn=1018000.
2010-11-04 19:56:39,927 | INFO   | gdav just earned 5 credit
2010-11-04 19:56:39,935 | DEBUG  | Stat gdav. credit, earn=8.
2010-11-04 19:56:39,943 | DEBUG  | Stat gdav. credit, earn=8.
2010-11-04 20:19:56,383 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:19:56,383 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:19:56,394 | INFO   | jjcaf just earned 1 cash
2010-11-04 20:19:56,394 | INFO   | jjcaf just earned 1 cash
2010-11-04 20:19:56,405 | DEBUG  | Stat jjcaf. cash, earn=1.
2010-11-04 20:19:56,405 | DEBUG  | Stat jjcaf. cash, earn=1.
2010-11-04 20:19:56,411 | DEBUG  | Stat jjcaf. cash, earn=1.
2010-11-04 20:19:56,411 | DEBUG  | Stat jjcaf. cash, earn=1.
2010-11-04 20:19:56,539 | ERROR  | UserProfile not found. ID:0 USER:None
2010-11-04 20:19:56,539 | ERROR  | UserProfile not found. ID:0 USER:None
2010-11-04 20:21:23,017 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:21:23,017 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:21:23,028 | INFO   | jjcaf just earned 1 cash
2010-11-04 20:21:23,028 | INFO   | jjcaf just earned 1 cash
2010-11-04 20:21:23,039 | DEBUG  | Stat jjcaf. cash, earn=2.
2010-11-04 20:21:23,039 | DEBUG  | Stat jjcaf. cash, earn=2.
2010-11-04 20:21:23,047 | DEBUG  | Stat jjcaf. cash, earn=2.
2010-11-04 20:21:23,047 | DEBUG  | Stat jjcaf. cash, earn=2.
2010-11-04 20:21:23,182 | ERROR  | UserProfile not found. ID:0 USER:None
2010-11-04 20:21:23,182 | ERROR  | UserProfile not found. ID:0 USER:None
2010-11-04 20:37:32,628 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:37:32,628 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:38:22,631 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:38:22,631 | DEBUG  | Finishing auction of Lamborghini Urraco P300
2010-11-04 20:38:22,653 | ERROR  | Error saving profile Column 'job_next_day_at' cannot be null
2010-11-04 20:38:22,653 | ERROR  | Error saving profile Column 'job_next_day_at' cannot be null
2010-11-04 20:38:25,398 | INFO   | jjcaf just earned 1 cash
2010-11-04 20:38:25,398 | INFO   | jjcaf just earned 1 cash
2010-11-04 20:38:25,407 | DEBUG  | Stat jjcaf. cash, earn=3.
2010-11-04 20:38:25,407 | DEBUG  | Stat jjcaf. cash, earn=3.
2010-11-04 20:38:25,414 | DEBUG  | Stat jjcaf. cash, earn=3.
2010-11-04 20:38:25,414 | DEBUG  | Stat jjcaf. cash, earn=3.
2010-11-04 20:38:25,514 | DEBUG  | Stat jjcaf. garage, cars_add=1.
2010-11-04 20:38:25,514 | DEBUG  | Stat jjcaf. garage, cars_add=1.
2010-11-04 20:38:25,613 | DEBUG  | Stat jjcaf. garage, cars=14738.
2010-11-04 20:38:25,613 | DEBUG  | Stat jjcaf. garage, cars=14738.
2010-11-04 20:38:25,624 | DEBUG  | Stat jjcaf. car_manuf, Lamborghini=14704.
2010-11-04 20:38:25,624 | DEBUG  | Stat jjcaf. car_manuf, Lamborghini=14704.
2010-11-04 20:38:25,635 | DEBUG  | Stat jjcaf. car_country, Italy=14711.
2010-11-04 20:38:25,635 | DEBUG  | Stat jjcaf. car_country, Italy=14711.
2010-11-04 20:38:25,645 | DEBUG  | Stat jjcaf. car_tier, 5=14720.
2010-11-04 20:38:25,645 | DEBUG  | Stat jjcaf. car_tier, 5=14720.
2010-11-04 20:38:25,655 | DEBUG  | Stat jjcaf. car_manuf, Lamborghini=14705.
2010-11-04 20:38:25,655 | DEBUG  | Stat jjcaf. car_manuf, Lamborghini=14705.
2010-11-04 20:38:25,665 | DEBUG  | Stat jjcaf. car_country, Italy=14712.
2010-11-04 20:38:25,665 | DEBUG  | Stat jjcaf. car_country, Italy=14712.
2010-11-04 20:38:25,675 | DEBUG  | Stat jjcaf. car_tier, 5=14721.
2010-11-04 20:38:25,675 | DEBUG  | Stat jjcaf. car_tier, 5=14721.
2010-11-04 20:38:25,686 | DEBUG  | Stat jjcaf. car_year, 1970=1.
