2010-10-27 21:48:09,804 | DEBUG  | Stat yezooz. car_weight, 900=3.
2010-10-27 21:48:09,806 | INFO   | yezooz just earned 1000 cash
2010-10-27 21:48:09,806 | INFO   | yezooz just earned 1000 cash
2010-10-27 21:48:09,814 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-27 21:48:09,814 | DEBUG  | Stat yezooz. cash, earn=2000.
2010-10-27 21:48:09,821 | DEBUG  | Stat yezooz. cash, earn=5000.
2010-10-27 21:48:09,821 | DEBUG  | Stat yezooz. cash, earn=5000.
2010-10-27 21:48:09,822 | INFO   | yezooz just earned 10 exp
2010-10-27 21:48:09,822 | INFO   | yezooz just earned 10 exp
2010-10-27 21:48:09,830 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-27 21:48:09,830 | DEBUG  | Stat yezooz. exp, earn=20.
2010-10-27 21:48:09,839 | DEBUG  | Stat yezooz. exp, earn=50.
2010-10-27 21:48:09,839 | DEBUG  | Stat yezooz. exp, earn=50.
2010-10-27 21:48:09,856 | DEBUG  | Stat yezooz. job, done=2.
2010-10-27 21:48:09,856 | DEBUG  | Stat yezooz. job, done=2.
2010-10-27 21:48:09,866 | DEBUG  | Stat yezooz. job, done=5.
2010-10-27 21:48:09,866 | DEBUG  | Stat yezooz. job, done=5.
