2010-11-06 11:52:26,607 | DEBUG  | Stat yezooz. car_country, Japan=3.
2010-11-06 11:52:26,607 | DEBUG  | Stat yezooz. car_country, Japan=3.
2010-11-06 11:52:26,624 | DEBUG  | Stat yezooz. car_tier, 3=7.
2010-11-06 11:52:26,624 | DEBUG  | Stat yezooz. car_tier, 3=7.
2010-11-06 11:52:26,635 | DEBUG  | Stat yezooz. car_manuf, Honda=2.
2010-11-06 11:52:26,635 | DEBUG  | Stat yezooz. car_manuf, Honda=2.
2010-11-06 11:52:26,647 | DEBUG  | Stat yezooz. car_country, Japan=4.
2010-11-06 11:52:26,647 | DEBUG  | Stat yezooz. car_country, Japan=4.
2010-11-06 11:52:26,665 | DEBUG  | Stat yezooz. car_tier, 3=8.
2010-11-06 11:52:26,665 | DEBUG  | Stat yezooz. car_tier, 3=8.
2010-11-06 11:52:26,674 | DEBUG  | Stat yezooz. car_year, 1990=1.
2010-11-06 11:52:26,674 | DEBUG  | Stat yezooz. car_year, 1990=1.
2010-11-06 11:52:26,693 | DEBUG  | Stat yezooz. car_bhp, 209=1.
2010-11-06 11:52:26,693 | DEBUG  | Stat yezooz. car_bhp, 209=1.
2010-11-06 11:52:26,702 | DEBUG  | Stat yezooz. car_speed, 220=1.
2010-11-06 11:52:26,702 | DEBUG  | Stat yezooz. car_speed, 220=1.
2010-11-06 11:52:26,712 | DEBUG  | Stat yezooz. car_weight, 1400=2.
2010-11-06 11:52:26,712 | DEBUG  | Stat yezooz. car_weight, 1400=2.
2010-11-06 11:52:26,726 | DEBUG  | yezooz bought 3 cars
2010-11-06 11:52:26,726 | DEBUG  | yezooz bought 3 cars
2010-11-06 11:58:53,499 | INFO   | yezooz just spent 20 credit
2010-11-06 11:58:53,499 | INFO   | yezooz just spent 20 credit
2010-11-06 11:58:53,528 | DEBUG  | Stat yezooz. credit, spend=40.
2010-11-06 11:58:53,528 | DEBUG  | Stat yezooz. credit, spend=40.
2010-11-06 11:58:54,302 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:58:54,302 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:58:54,352 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:58:54,352 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:58:54,403 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:58:54,403 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:58:54,447 | DEBUG  | Stat yezooz. garage, cars_add=4.
2010-11-06 11:58:54,447 | DEBUG  | Stat yezooz. garage, cars_add=4.
2010-11-06 11:58:55,192 | DEBUG  | Stat yezooz. garage, cars=37.
2010-11-06 11:58:55,192 | DEBUG  | Stat yezooz. garage, cars=37.
2010-11-06 11:58:55,238 | DEBUG  | Stat yezooz. car_manuf, Chevrolet=1.
2010-11-06 11:58:55,238 | DEBUG  | Stat yezooz. car_manuf, Chevrolet=1.
2010-11-06 11:58:55,248 | DEBUG  | Stat yezooz. car_country, USA=1.
2010-11-06 11:58:55,248 | DEBUG  | Stat yezooz. car_country, USA=1.
2010-11-06 11:58:55,259 | DEBUG  | Stat yezooz. car_tier, 3=9.
2010-11-06 11:58:55,259 | DEBUG  | Stat yezooz. car_tier, 3=9.
2010-11-06 11:58:55,270 | DEBUG  | Stat yezooz. car_manuf, Chevrolet=2.
2010-11-06 11:58:55,270 | DEBUG  | Stat yezooz. car_manuf, Chevrolet=2.
2010-11-06 11:58:55,281 | DEBUG  | Stat yezooz. car_country, USA=2.
2010-11-06 11:58:55,281 | DEBUG  | Stat yezooz. car_country, USA=2.
2010-11-06 11:58:55,295 | DEBUG  | Stat yezooz. car_tier, 3=10.
2010-11-06 11:58:55,295 | DEBUG  | Stat yezooz. car_tier, 3=10.
2010-11-06 11:58:55,307 | DEBUG  | Stat yezooz. car_year, 2000=3.
2010-11-06 11:58:55,307 | DEBUG  | Stat yezooz. car_year, 2000=3.
2010-11-06 11:58:55,317 | DEBUG  | Stat yezooz. car_bhp, 170=1.
2010-11-06 11:58:55,317 | DEBUG  | Stat yezooz. car_bhp, 170=1.
2010-11-06 11:58:55,338 | DEBUG  | Stat yezooz. car_speed, 210=1.
2010-11-06 11:58:55,338 | DEBUG  | Stat yezooz. car_speed, 210=1.
2010-11-06 11:58:55,348 | DEBUG  | Stat yezooz. car_weight, 1200=1.
2010-11-06 11:58:55,348 | DEBUG  | Stat yezooz. car_weight, 1200=1.
2010-11-06 11:58:55,793 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:58:55,793 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:58:55,843 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:58:55,843 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:58:55,892 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:58:55,892 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:58:55,931 | DEBUG  | Stat yezooz. garage, cars_add=5.
2010-11-06 11:58:55,931 | DEBUG  | Stat yezooz. garage, cars_add=5.
2010-11-06 11:58:55,945 | DEBUG  | Stat yezooz. garage, cars=38.
2010-11-06 11:58:55,945 | DEBUG  | Stat yezooz. garage, cars=38.
2010-11-06 11:58:55,958 | DEBUG  | Stat yezooz. car_manuf, Volkswagen=5.
2010-11-06 11:58:55,958 | DEBUG  | Stat yezooz. car_manuf, Volkswagen=5.
2010-11-06 11:58:55,970 | DEBUG  | Stat yezooz. car_country, Germany=8.
2010-11-06 11:58:55,970 | DEBUG  | Stat yezooz. car_country, Germany=8.
2010-11-06 11:58:55,984 | DEBUG  | Stat yezooz. car_tier, 3=11.
2010-11-06 11:58:55,984 | DEBUG  | Stat yezooz. car_tier, 3=11.
2010-11-06 11:58:55,995 | DEBUG  | Stat yezooz. car_manuf, Volkswagen=6.
2010-11-06 11:58:55,995 | DEBUG  | Stat yezooz. car_manuf, Volkswagen=6.
2010-11-06 11:58:56,006 | DEBUG  | Stat yezooz. car_country, Germany=9.
2010-11-06 11:58:56,006 | DEBUG  | Stat yezooz. car_country, Germany=9.
2010-11-06 11:58:56,019 | DEBUG  | Stat yezooz. car_tier, 3=12.
2010-11-06 11:58:56,019 | DEBUG  | Stat yezooz. car_tier, 3=12.
2010-11-06 11:58:56,030 | DEBUG  | Stat yezooz. car_year, 2000=4.
2010-11-06 11:58:56,030 | DEBUG  | Stat yezooz. car_year, 2000=4.
2010-11-06 11:58:56,042 | DEBUG  | Stat yezooz. car_bhp, 138=1.
2010-11-06 11:58:56,042 | DEBUG  | Stat yezooz. car_bhp, 138=1.
2010-11-06 11:58:56,053 | DEBUG  | Stat yezooz. car_speed, 200=1.
2010-11-06 11:58:56,053 | DEBUG  | Stat yezooz. car_speed, 200=1.
2010-11-06 11:58:56,065 | DEBUG  | Stat yezooz. car_weight, 1400=3.
